label,family,cluster
"ChrbB|CP053069.1:c1502571-1502513 Usitatibacter rugosus strain 0125_3 chromosome, complete genome FORWARD",ChrbB,7
"ChrbB|LT629703.1:c489857-489809 Afipia sp. GAS231 genome assembly, chromosome: I FORWARD",ChrbB,9
"ChrbB|CP021112.1:1981742-1981791 Pseudorhodoplanes sinuspersici strain RIPI110 chromosome, complete genome FORWARD",ChrbB,6
"ChrbB|LMLB01000001.1:105685-105736 Sphingomonas sp. Leaf33 contig_1, whole genome shotgun sequence FORWARD",ChrbB,7
"ChrbB|MAXC01000033.1:188706-188754 Bradyrhizobium sp. LMTR 3 NODE_3, whole genome shotgun sequence FORWARD",ChrbB,10
"ChrbB|CP073078.1:5426903-5426951 Phenylobacterium montanum strain S6 chromosome, complete genome FORWARD",ChrbB,7
"ChrbB|JAEQNE010000002.1:316914-316966 Ramlibacter monticola strain KACC 19175 contig2, whole genome shotgun sequence FORWARD",ChrbB,9
"ChrbB|JYMT01000042.1:c688911-688865 Bradyrhizobium sp. LTSP885 NODE_42, whole genome shotgun sequence FORWARD",ChrbB,3
"ChrbB|LMQL01000009.1:305624-305676 Ramlibacter sp. Leaf400 contig_3, whole genome shotgun sequence FORWARD",ChrbB,9
"ChrbB|CP010951.1:c2109339-2109282 Ramlibacter tataouinensis strain 5-10, complete genome FORWARD",ChrbB,9
"ChrbB|JACORU010000001.1:c1032792-1032737 Ramlibacter albus strain GTP1 contig1, whole genome shotgun sequence FORWARD",ChrbB,7
"ChrbB|FOQV01000012.1:126946-126999 Bosea sp. OK403 genome assembly, contig: Ga0066723_112, whole genome shotgun sequence FORWARD",ChrbB,7
"ChrbB|AAMY01000004.1:c30975-30928 Nitrobacter sp. Nb-311A 1099473104515, whole genome shotgun sequence FORWARD",ChrbB,7
"ChrbB|JACHOR010000005.1:331026-331074 Brevundimonas variabilis strain DSM 4737 Ga0373203_05, whole genome shotgun sequence FORWARD",ChrbB,7
"ChrbB|CP053073.1:c1372620-1372562 Usitatibacter palustris strain Swamp67 chromosome, complete genome FORWARD",ChrbB,7
"ChrbB|PSRR01000158.1:9297-9349 Bradyrhizobium sp. Leo170 Contig158_, whole genome shotgun sequence FORWARD",ChrbB,7
"ChrbB|FWZX01000003.1:c283627-283583 Tistlia consotensis strain USBA 355 genome assembly, contig: Ga0111602_103, whole genome shotgun sequence FORWARD",ChrbB,7
"ChrbB|LMPZ01000001.1:c41130-41084 Brevundimonas sp. Leaf363 contig_1, whole genome shotgun sequence FORWARD",ChrbB,7
"ChrbB|JACHXA010000011.1:73525-73571 Limibacillus halophilus strain CECT 8803 Ga0372437_11, whole genome shotgun sequence FORWARD",ChrbB,7
"ChrbB|CP010951.1:c4158246-4158194 Ramlibacter tataouinensis strain 5-10, complete genome FORWARD",ChrbB,9
